# Simulation 1 (Up to date)
# 404 data points written for 4 variables.
#
# Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Stability margin calibers (?)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
359.34,-11.667,-10.121,1.5225
358.74,-12.172,-10.108,1.5213
358.12,-12.678,-10.115,1.5093
357.47,-13.184,-10.139,1.4885
356.8,-13.691,-10.128,1.4883
356.11,-14.197,-10.128,1.4829
355.38,-14.704,-10.163,1.4595
354.63,-15.213,-10.173,1.4512
353.86,-15.721,-10.13,1.472
353.06,-16.225,-10.035,1.5251
352.24,-16.725,-9.969,1.565
351.39,-17.222,-9.9367,1.5846
# Event EJECTION_CHARGE occurred at t=10.852 seconds
350.93,-17.484,-9.9217,1.5938
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=10.853 seconds
350.81,-17.149,74.441,NaN
350.72,-16.789,70.923,NaN
350.63,-16.43,67.483,NaN
350.54,-16.071,64.121,NaN
350.45,-15.713,60.837,NaN
350.35,-15.356,57.632,NaN
350.25,-15,54.505,NaN
350.15,-14.644,51.457,NaN
350.04,-14.29,48.494,NaN
349.93,-13.937,45.647,NaN
349.82,-13.585,42.88,NaN
349.7,-13.236,40.193,NaN
349.58,-12.887,37.587,NaN
349.46,-12.541,35.061,NaN
349.33,-12.197,32.574,NaN
349.19,-11.853,30.011,NaN
349.04,-11.51,27.521,NaN
348.89,-11.167,25.103,NaN
348.72,-10.825,22.763,NaN
348.55,-10.487,20.679,NaN
348.36,-10.152,18.678,NaN
348.17,-9.8221,16.762,NaN
347.96,-9.4992,15.033,NaN
347.74,-9.1845,13.398,NaN
347.5,-8.8776,11.771,NaN
347.25,-8.5787,10.178,NaN
346.97,-8.2892,8.6641,NaN
346.65,-8.011,7.2248,NaN
346.29,-7.7435,5.7544,NaN
345.84,-7.4885,4.3225,NaN
345.31,-7.2593,3.2066,NaN
344.7,-7.0647,2.2721,NaN
343.98,-6.9117,1.4901,NaN
342.92,-6.8118,0.64442,NaN
341.56,-6.7704,0.2065,NaN
339.02,-6.8133,-0.11482,NaN
335.6,-6.8456,-0.064627,NaN
333.28,-6.8043,0.12147,NaN
329.87,-6.8545,-0.10033,NaN
327.7,-6.8015,0.16696,NaN
324.29,-6.8493,-0.095639,NaN
320.87,-6.8286,0.041396,NaN
317.46,-6.8277,0.0018523,NaN
316.1,-6.773,0.2727,NaN
314.57,-6.7584,0.064822,NaN
311.16,-6.8654,-0.214,NaN
307.74,-6.8153,0.10011,NaN
304.33,-6.8375,-0.04431,NaN
302.68,-6.783,0.22465,NaN
299.27,-6.8463,-0.12658,NaN
295.85,-6.82,0.05266,NaN
292.44,-6.8192,0.0016838,NaN
289.03,-6.8279,-0.017452,NaN
286.91,-6.7859,0.13466,NaN
283.51,-6.8308,-0.089659,NaN
280.09,-6.8197,0.022174,NaN
276.68,-6.8218,-0.004338,NaN
273.27,-6.8106,0.022566,NaN
